0,1,2,3,4,5,6,7,8,9,10,11,12,13
2.4311993,58.341896,81.73218,62.479366,120.25358,2.5452886,-9.451975,9.760133,1.0960859,0.052112766,0.06365533,1.0529513,0.07649553,0.98353714
3.870535,3110.466,828.997,1280.3679,3241.6094,3.8838449,-6.190104,-0.8849998,1.0940846,0.09943458,0.07505084,1.0024577,0.051477235,0.91383445
1.6989464,39.361317,31.072166,73.07059,138.98787,-6.3202286,-9.129857,-1.0096993,1.0650623,0.034738228,0.013988279,0.96849114,0.09666086,0.94685775
2.6057262,-4.5748105,53.56963,103.83333,143.76454,-5.448689,-8.484035,-1.1202588,0.9312429,0.07245497,0.0994952,1.0120118,0.09284158,1.024517
1.7834316,85.69972,11.294193,-28.687675,99.17195,2.3783886,5.9478197,7.4538937,0.90360916,0.08363644,0.040773105,0.99959487,0.04790087,0.9083725
2.5391443,79.68033,38.71978,32.448475,98.07489,0.83788073,-8.001976,7.8971014,0.9592136,0.025613585,0.013801819,1.0774549,0.020303907,0.9065398
3.1900163,-0.9623227,36.38517,11.059817,35.84651,5.437118,1.1396414,-1.1565064,1.0090814,0.06963969,0.011012857,1.0279251,0.040666856,0.929881
3.931452,66.80509,148.03294,131.93053,194.05312,-10.10357,-4.717902,10.619089,1.0786301,0.0007873911,0.081128806,1.0026013,0.09385966,1.0608171
17.268085,206.55424,779.6489,240.81358,792.93634,-2.8001406,8.702201,-8.326081,1.0132878,0.03158802,0.09129851,1.0708264,0.07043451,1.0436023
1.6568264,-21.85775,25.5411,29.207672,62.714664,-8.725241,-4.3424225,-3.1879122,0.9604013,0.03964776,0.02073513,1.0480078,0.02962018,1.0357457
0.66724026,-1.8146708,-5.477839,10.23608,18.702492,3.0698843,2.8932734,2.9536054,0.930404,0.028747136,0.03297756,1.0092578,0.086195104,1.0030586
0.3963388,138.88553,-7.377195,-41.535454,169.11089,4.322452,9.797192,9.346846,0.9581943,0.051721904,0.021374501,1.0418018,0.0029309324,1.0938399
2.023584,55.383694,86.13949,1.2971025,105.48502,-2.443675,5.094061,2.5244062,1.0672433,0.087003134,0.07611777,0.97462934,0.074976526,0.9726581
0.37449363,34.890926,121.78277,131.73563,181.04727,-9.20177,-1.0188271,4.965547,1.0392106,0.080019966,0.0022130269,1.025316,0.030420562,1.0991675
1.4111733,32.05968,82.89569,116.091125,142.82143,4.5310187,9.836399,-8.162237,1.0336528,0.034092456,0.08238561,1.0897492,0.021125935,1.0313385
6.31716,71.14889,23.150108,90.022934,123.13152,-1.4940898,1.0957086,7.243001,0.996738,0.010519626,0.023898304,1.0589145,0.049051076,1.0637853
1.051204,1243.4829,32.70124,288.96643,1522.4205,-10.313805,-4.3605237,-8.99343,1.034595,0.004319894,0.04210102,1.015666,0.0099493535,1.0639967
5.9972577,-65.28493,73.58281,98.06107,145.81065,-10.348878,-3.7638946,-6.4778957,1.0909379,0.043755665,0.079406835,1.0788033,0.011627033,1.0995864
3.9710286,1368.1329,3951.2842,3468.6804,5560.771,-7.0330567,-8.802883,3.4314184,1.061917,0.046326783,0.060264546,0.91334176,0.029439593,0.9041292
2.7275648,50.378345,25.219654,29.700682,59.89498,2.9145834,-8.2019205,1.8951092,1.0436034,0.088588,0.037812054,0.96236974,0.0531257,1.0103496
1.8357337,58.118732,87.93398,113.74879,225.87569,-7.3899484,-6.015643,6.743965,1.0611442,0.0072392677,0.024442406,0.99740785,0.09186679,0.981235
0.37662822,411.69196,1070.6735,171.91777,1177.641,-1.7660037,1.5490023,-7.587141,1.0723189,0.01720209,0.080995694,1.0146383,0.028932717,1.0571042
0.20747377,122.072395,57.686756,57.927372,202.51932,7.5126753,-8.808818,6.051378,1.0437235,0.007915978,0.07875964,1.0910747,0.020388486,1.0257069
1.55966,105.305084,30.739574,74.29704,134.08768,-0.6162218,5.085103,4.0002413,0.96094704,0.018610535,0.07806626,0.92377156,0.09724903,1.0966696
0.9288351,3.5124183,34.97741,39.850063,68.466965,7.9967256,4.92551,-4.9734964,0.96470445,0.04232078,0.021088704,0.9721459,0.06638239,0.97854453
0.079285234,49.58286,98.5098,180.24701,220.92694,-8.652992,-1.0848057,5.3601923,0.9472914,0.06279506,0.09423694,0.9805047,0.0659073,0.9159494
1.5429952,1311.7096,1794.1182,802.19525,3410.7368,1.7102691,-5.1462426,9.517744,1.0860571,0.098012105,0.06564332,0.93349856,0.010571328,0.90686756
2.146657,22.297821,10.535125,6.375583,25.968521,-1.0027815,4.5766187,-3.5173557,0.9137334,0.036410037,0.010007241,0.96347636,0.07866502,0.9957403
1.087768,53.341522,20.58841,42.87323,93.25101,-3.1754832,6.553423,-1.6824585,1.0924,0.03785712,0.013577717,0.91734767,0.083164506,0.99017185
1.0563025,-1.7751832,-21.095163,25.969273,104.179596,-7.548239,-8.052819,-7.3941536,1.0682825,0.08631706,0.034920543,0.9078469,0.069289364,1.0013165
1.9505961,54.999065,10.93065,23.95335,62.894817,-2.3743658,9.073716,1.165684,1.0562863,0.042104784,0.0077343914,1.037534,0.09086052,1.0939873
0.45767257,51.834946,49.989132,112.6393,140.5306,4.677517,9.26701,-7.2054033,0.96532905,0.045810495,0.03617252,1.0921562,0.045171175,1.0097424
1.664054,18.812334,37.306507,33.970108,57.275177,6.386591,-5.4994006,2.4572399,1.0853411,0.00523822,0.021018045,0.9314274,0.019859495,0.99047655
2.5463622,-31.228468,62.289948,34.03485,92.37637,-10.179047,-4.838125,-2.5664992,0.99175245,0.07524982,0.05443034,1.0914477,0.08270968,1.079858
0.9956914,16.489834,37.047188,209.35724,219.60835,-1.1628791,4.618815,1.3320909,0.9730555,0.013533223,0.043138467,0.92268735,0.04411248,1.0070277
1.7719172,29.300634,10.208523,33.596375,71.36543,-4.46181,9.908954,1.1642934,1.0417553,0.02032847,0.011624527,1.0895579,0.041466616,0.9218748
1.8291193,-1.8435907,29.089687,12.865377,59.27878,-10.508133,-0.7875544,-0.017989041,1.0447251,0.006744843,0.02062626,0.9886912,0.035200592,1.0899856
0.6025987,19.971642,32.719975,-1.2049869,44.880424,0.5901856,1.6527156,5.344492,0.94243413,0.013237672,0.025164135,1.0759048,0.056461513,0.9030467
0.3546209,7.4185753,-4.4170575,1.7393422,10.958546,0.9840836,2.6025589,2.966782,1.0288999,0.044707544,0.084930226,1.0000204,0.017388089,0.96092826
1.7248019,346.3491,277.89532,152.28802,459.32056,1.9072052,-5.1018972,4.937606,1.0805907,0.025032323,0.025316771,0.9261552,0.002427422,0.91913915
